Name,Party,State,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10
Baldwin,D,WI,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Barrasso,R,WY,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Bennet,D,CO,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Blackburn,R,TN,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Blumenthal,D,CT,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Booker,D,NJ,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Boozman,R,AR,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Braun,R,IN,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Britt,R,AL,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting
Brown,D,OH,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Budd,R,NC,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Butler,D,CA,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea
Cantwell,D,WA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Capito,R,WV,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Cardin,D,MD,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Carper,D,DE,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Casey,D,PA,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Cassidy,R,LA,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Collins,R,ME,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay
Coons,D,DE,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Cornyn,R,TX,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Cortez Masto,D,NV,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Cotton,R,AR,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Cramer,R,ND,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Nay
Crapo,R,ID,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,Nay
Cruz,R,TX,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Daines,R,MT,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay
Duckworth,D,IL,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Durbin,D,IL,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Ernst,R,IA,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Nay
Fetterman,D,PA,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting
Fischer,R,NE,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Gillibrand,D,NY,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Graham,R,SC,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay
Grassley,R,IA,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Hagerty,R,TN,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay
Hassan,D,NH,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Hawley,R,MO,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
Heinrich,D,NM,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Hickenlooper,D,CO,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Hirono,D,HI,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Hoeven,R,ND,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
Hyde-Smith,R,MS,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay
